Gender,Father's occupation.,Mother's occupation.,What is your Ethnic background/caste,What is your native language?,Which city do you currently live in?,Describe your hobbies.,What was your study group?,What were your Matric/O-Levels marks/grades respectively?,What were your Inter/A-Levels marks/grades respectively?,Which University did you get enrolled in?,Year of admission in university?,Do you have any impairments that needs accommodation? (medical or otherwise),Where is the campus located?,What degree program did you choose?,"Including all costs, what is your cumulative expense at your current university (to the nearest million) 
For Example: 3 Million PKR",Are there any question that you feel should have also been asked in this form? 
Male,Retired,House wife,Paracha,Urdu,Kohat,Nothing,CS,970,900,FAST NUCES,2019,No,Peshawar ,BSCS,2,No
Female,Business man,Teacher,Paracha,Urdu,Kohat,Traveling ,Pre-Med,775,846,Kohat university of Science and Technology ,2017,No,Kohat,Chemical sciences,1,No this is enough.
Female,Army officer ,Housewife,Bangash ,Urdu ,Kohat,Making good food.,Pre-Med,765/1050,873/1100,KUST,2019,No,Kohat,Psychology ,1.5,No
Female,Police Officer,House wife,Other,Pashto,Islamabad,Reading books,Pre-Engrr,878 out of 1100,820,AU (Air University),2022,No,Islamabad,BSEE,2.5,
Female,Retired Post Master,House wife,Syed Bukhari ,Urdu,Kohat ,Reading books,Bs chemistry ,941,965,Kohat university of science and technology ,2021,No,Kohat ,Chemistry ,0.5,No
Female,Salesman,House wife,Bangash ,Urdu,Kohat,Reading books ,  BS Chemistry ,823,832,Kohat university of science and technology ,2021,No,Kohat,Bs chemistry ,0.5,No
Female,Business ,Housewife ,Khattak ,Pushto,Nowshera,Reading ,Pre-Med,87%,83%,University of Peshawar ,2017,No,Peshawar ,Political Science ,0.6,No
Male,Journalist,General Manager,I don't know,Urdu,Peshawar,"sketching, gaming",CS,698,882,FAST NUCES,2019,no,Peshawar ,BSCS,1,no
Male,Businessman ,Teacher,Joiya,Urdu,Peshawar,Exercise,Pre-Engrr,983,830,NUCES FAST,2019,No,Peshawar,Computer science ,2,No
Male,Businessman,Housewife,Malik,Urdu,Kotli Ajk,Football ,Pre-Engrr,835/1050,794/1100,Fast Nuces Peshawar campus,2019,No,Peshawar ,BSEE,2,All Fine
Female,Businessman ,Housewife ,Khan,Urdu,Peshawar ,"Painting, Riding, Troubleshooting ",Pre-Engrr,971,859,Fast National University ,2019,no,Industrial Estate,Electricial Engineering ,1.5,.
Male,Business ,Housewife,Pathan,Urdu,Peshawar ,Gaming studying ,Pre-Med,A+,A,Rmi,2018,No,Peshawar ,Bds,5,No
Male,Businessman ,Housewife,Rajput,Urdu,Nowshera,Gaming,CS,843,827,FAST University,2019,No,Peshawar,BSCS,1.5,
Male,Logistics ,Not any more,Awan,Hindko,Peshawar,Gaming,Pre-Med,909,857,Rehman medical university,2018,No,Hayatabad,Bds,1.2,Nothing
Male,Professor ,House wife,Farooqi,Urdu,Peshawar ,Iot projects,Pre-Engrr,74%,72%,Fast Nuces ,2019,No,Peshawar ,Electrical Engineering ,2,
Male,Agriculture officer,Houses wife,Paracha ,Hinko,Kohat ,Cricket ,Pre-Engrr,82 percent,80,Agriculture University Peshawar ,2020,No impairments,Peshawar ,BSC Agronomy (Agriculture),0.6,About teaching staff
Male,Govt servent,House wife,Muslim,Pushto ,Peshawar ,Cricket,Pre-Engrr,A+,A+,Fast NUCES ,2019,No,Peshawar ,Electrical engineering ,1.5,No 
Male,Shopkeeper ,Doctor,Pathan,Pashto,Peshawer ,Book lover,Pre-Engrr,699,745,Agriculture university of peshawar ,2020,No,Near forest bazar polosi road,Crop production ,6,No
Male,Student,Housewife,syed,Pushtu,Peshawar,cricket videogames,Pre-Med,945 A1,895,khyber medical university,2018,no,Peshawar,BDS,5,
Male,Finance Manager,Housewife,Mughal,Urdu,Lahore,Nothing,Pre-Engrr,4A*3A1C,ABC,UMT,2019,Nope,Lahore,BS(Mechanical Engineering),2,Yes
Male,Business,Doctor,Paracha,Hindko,Kohat,"Football , gaming , watching shows",Pre-Med,961/1050,982/1100,"Khyber Medical College, Peshawar",2019,No,Peshawar,MBBS,2,"Yes, why did you chose the degree."
Male,Farmer,Housewife,Syed Bukhari ,Urdu,Kohat ,Eating sleeping studying ,Pre-Med,966 A+,985 A+,Khyber medical uni,2019,Yes a bit,Peshawar university ,Mbbs,6,No
Male,Salesman ,Housewife ,Bangash ,Urdu,Kohat,"Reading, riding, traveling, hiking ",Psychology ,1st Division ,1st Division ,Kohat university of science and technology ,2019,No,Kohat city,BS 4 years,0.5,"No, thank you "
Male,Salesman,Doctor,Khattak ,Pushto,Nowshera,Gym,Commerce,70%,75%,Bahria,2023,No,Karachi karsaz,Accounts and finance,3,None
